INDEX,UUID,LINE,NAME,LATITUDE,LONGITUDE,STATION,STATION_NAME
1960,132489eb-4061-402f-9ba5-50755201633c,M7BIS,Jaurès,"48,88246525","2,370157962",f4e0c9ed-7be8-4f8e-a63c-6408f58d7c9c,Jaurès
1970,f2854df6-abe0-49f1-bccf-43596611bae5,M7BIS,Bolivar,"48,88082126","2,374147154",5a90c979-1f7c-4b74-a093-13385eb4e0d6,Bolivar
1980,bd60d06b-6e24-4bc6-a61d-7cb42140cfb9,M7BIS,Buttes Chaumont,"48,87851411","2,381614512",b2fb83b5-0d87-431e-970c-2037d9cadd0c,Buttes Chaumont
1990,4bbb64d2-55cb-4576-b70c-3777b789dd03,M7BIS,Botzaris,"48,87948177","2,389115807",5bfbf1d6-2873-49b7-adbd-e42a0d119bca,Botzaris
2000,5cbb007d-8b80-4788-999d-d285d54ba325,M7BIS,Danube,"48,881932","2,393445456",0673bd70-a2aa-4a79-95f6-4bf6b8ed5c4a,Danube
2010,b0159fb7-cc52-43e7-92e9-c4b3d21f2b92,M7BIS,Place des Fêtes,"48,87694985","2,392983965",dbac775f-e23f-40c2-a105-6315ea2d00d9,Place des Fêtes
2020,98f2d262-eeea-4515-808a-db431fa208bc,M7BIS,Pré Saint-Gervais,"48,87999579","2,398946662",4d4a1d68-a271-47dc-b1cb-66868346d399,Pré Saint-Gervais
2030,0a5ea39e-e669-4770-be27-651690edd9d9,M8,Balard,"48,83593088","2,278161671",084d7b96-aee1-45d4-824c-26a4447f4d0f,Balard
2040,f5335d21-d7ad-4ab9-bc63-86d5cbb0e474,M8,Lourmet,"48,83896094","2,282700027",cb4590f4-47ba-4c28-aa55-9e23822386b1,Lourmet
2050,98eb1899-bebf-4241-800b-2d3574733c8a,M8,Bousicaut,"48,84109406","2,287945767",19ae5eba-09c0-4d8b-9d0a-83cec2dfc3e5,Bousicaut
2060,7b4d56f3-471d-40c9-bed7-52f6eba01b6c,M8,Félix Faure,"48,84274678","2,291912413",fbf0d693-ca29-4524-a864-6f9f69972d7e,Félix Faure
2070,ce409036-a084-4365-8f0a-b0cb0520d077,M8,Commerce,"48,84479476","2,293951964",37cd4019-99ea-4c8c-a796-91f2bcc13ec3,Commerce
2080,418bdc65-4b7d-443f-a024-1200bc1b5557,M8,La Motte-Piquet - Grenelle,"48,84935055","2,298301402",4bb04ac0-40a8-4cb5-966c-fd072595e981,La Motte-Piquet - Grenelle
2090,605879b3-3e75-486a-8d99-7e6a6614809b,M8,Ecole Militaire,"48,85468216","2,306097404",9cd96ac5-d849-470e-8a54-f473f0de2ad1,Ecole Militaire
2100,d2b3b690-3816-4b8c-aa62-24917648d62d,M8,La Tour-Maubourg,"48,85772541","2,310565961",d5eeacf8-cc06-4492-be0e-db0adfadcbf1,La Tour-Maubourg
2110,d522db49-61de-402c-a168-0f16bfcf8e8f,M8,Invalides,"48,86232533","2,315138432",49d8f010-0255-4cfb-a48d-aa88ee3922da,Invalides
2120,39cd89b6-2ed3-4ef5-ac7c-e5903f131c96,M8,Concorde,"48,86681837","2,322082849",d8ab1e1d-daa3-453b-a05c-4c733c403678,Concorde
2130,ea285362-8547-46d3-9477-931b470d0f79,M8,Madeleine,"48,86963317","2,326272274",550ef054-29ed-4af2-a476-1bddc22b4bc0,Madeleine
2140,6f37ba26-77e1-4105-8840-a3ca42c98c1e,M8,Opéra,"48,87064173","2,3321386",8882ebb5-cd45-4230-90a5-9a1a13bc6d6c,Opéra
2150,9935d16b-398e-4b71-81eb-c2fadd07a4ab,M8,Richelieu - Drouot,"48,8717866","2,339030547",6739b658-cc09-43af-9bfa-50090e051224,Richelieu - Drouot
2160,d87b4a39-5067-4466-8765-23a177d692e5,M8,Grands Boulevards,"48,87149774","2,343154773",77bb2f08-571a-4258-bdca-b8e40f67010e,Grands Boulevards
2170,bea4f9bd-c26b-47cf-b37d-b373220a32a4,M8,Bonne Nouvelle,"48,8701642","2,350497972",bd277e57-deb6-416a-918e-5275087cf6f5,Bonne Nouvelle
2180,6014b488-6855-4d24-9291-e4a40fe4cde0,M8,Strasbourg - Saint-Denis,"48,86922417","2,354603791",8824ea5a-df02-4bdb-9a96-c0ea90f6a778,Strasbourg - Saint-Denis
2190,b15b689a-f391-4a2c-8727-0073778518ed,M8,République,"48,86715873","2,363957837",26facafd-46f7-41a1-818b-c8637f3621cb,République
2200,7006e1f8-4bc7-4f7c-9b72-1be9c3ebc47e,M8,Filles du Calvaire,"48,86325795","2,366661095",1cc3492d-db77-4549-b442-a69d4ad69b91,Filles du Calvaire
2210,c3c94791-c81d-4bd0-aed8-dd858c1947ca,M8,Saint-Sébastien - Froissart,"48,86116887","2,367210866",d2bd5130-871a-440a-b1f9-8719e74494dc,Saint-Sébastien - Froissart
2220,0501d5fd-3876-4734-811c-81cfecf5be13,M8,Chemin Vert,"48,85742004","2,368108291",734670d2-fd22-4cb6-9712-51b3de798d46,Chemin Vert
2230,453339c2-ccb9-482b-92aa-03e6b29e613d,M8,Bastille,"48,85343943","2,36951357",81c478ad-c332-4b4a-b1a6-11fc7c4c5c7f,Bastille
2240,72d5c10b-eef1-4d6b-8764-568a4dfe57fe,M8,Ledru-Rollin,"48,85127113","2,376118773",d121e742-1ae6-4856-942e-2cd516759451,Ledru-Rollin
2250,169febff-1b63-44eb-978f-400f67d02125,M8,Faidherbe - Chaligny,"48,85017786","2,38409221",bc1615a7-0635-42a7-91ef-d644e4d079fe,Faidherbe - Chaligny
2260,7645c3cc-86f7-4312-ba31-a2ebe9038ee3,M8,Reuilly - Diderot,"48,84712872","2,387025242",6a2550e7-f200-4ad3-a0ff-b53966c8cfaa,Reuilly - Diderot
2270,92f7d062-8188-48c2-a14b-e3472522efc1,M8,Montgallet,"48,84440867","2,390075113",2284b646-270c-45db-b553-b45ca698220b,Montgallet
2280,e35c326a-0b77-4b12-9da6-79789ce2a5c4,M8,Dausmenil,"48,83944543","2,396182886",25f63acc-fcc6-4220-9597-14116b4ec945,Dausmenil
2290,08910f40-ddb5-40a7-884c-a2c9c7070054,M8,Michel Bizot,"48,83711701","2,402333166",1a30c9a4-52a1-47fb-8bee-32b53f7c6465,Michel Bizot
2300,a036f675-ab4d-4096-bfa2-de5c78d9e4f7,M8,Porte Dorée,"48,83478516","2,405383211",27073c1b-e609-4440-b1f5-c4fff169a8a2,Porte Dorée
2310,a809871f-e266-43c2-baf3-133b134805f3,M8,Porte de Charenton,"48,83316293","2,401448054",3787caac-9519-45b0-96d6-65f1f1c3c6cb,Porte de Charenton
2320,76ce7521-778e-4a8c-b8ac-38c7d2bef55d,M8,Liberté,"48,826055","2,406742226",1273cabc-a33f-4abd-969e-d829aa381e71,Liberté
2330,b20e640f-c2e3-4ed8-9a06-6aef2dfca451,M8,Charenton - Ecoles,"48,82159577","2,413737518",95f1b6dc-6458-4ba0-ab14-977459744ba5,Charenton - Ecoles
2340,594e152f-840b-454b-a5de-ebc570d55d06,M8,Ecole Vétérinaire de Maison-Alfort,"48,81480301","2,422376143",30d718a8-1330-4cb1-8932-56b42dedab78,Ecole Vétérinaire de Maison-Alfort
2350,a167312b-b88b-47a3-8f6f-925b3a70d6a7,M8,Maison-Alfort - Stade,"48,80914436","2,434509896",8ae18eda-54bc-4db3-a96d-d18e13f14937,Maison-Alfort - Stade
2360,19584eb2-62ad-4fe3-bac1-22af2eb5a679,M8,Maison-Alfort - Les Juilliotes,"48,80263769","2,446927484",b531da7e-2067-49c0-a514-a25999a62c81,Maison-Alfort - Les Juilliotes
2370,fed166b5-d6b1-44bd-9e24-1d23da0e12a5,M8,Créteil - L'Echat,"48,79674077","2,449433176",345dabd3-7df4-4d67-b8d4-d3f6056ca32b,Créteil - L'Echat
2380,4d5c04fa-e4c0-4163-b408-8c4230a32d5a,M8,Créteil - Université,"48,78997831","2,450453178",a631e016-9739-4034-ae7d-e36b2827591b,Créteil - Université
2390,8ce7ebbc-6abe-4f49-a278-702a0443370c,M8,Créteil - Préfecture,"48,77990532","2,459368396",64e50fdd-3261-43d5-a0cc-502013aac5a1,Créteil - Préfecture
2400,a3093a0a-b2c1-4bbf-9aed-295215cbf8f2,M8,Pointe du Lac,"48,76871513","2,464564993",1c06b794-1505-414b-8b1d-58d9ce5afde9,Pointe du Lac
2410,97b91d0e-3882-41d3-bdbb-ce8cb50144f0,M9,Pont de Sèvres,"48,82967484","2,230799591",043e5cf7-5cb5-4596-b408-11a854a8e2a2,Pont de Sèvres
2420,13c41adc-2502-4b2f-b7bd-d76360664528,M9,Billancourt,"48,83211056","2,238639349",1c33bb89-a11b-423e-a580-65fd1e5a07d7,Billancourt
2430,1feb8620-6d9d-4cc2-bef7-79a24eff8bfc,M9,Marcel Sambat,"48,83370885","2,243840592",d50c44ba-5e3a-44ef-9ffe-2cd8e3c1b43d,Marcel Sambat
2440,a19bb1ed-5164-4a3e-82e2-8736b844d6b6,M9,Porte de Saint-Cloud,"48,83796121","2,25712223",e650a123-8de5-453f-a38c-5b6b2f605332,Porte de Saint-Cloud
2450,94d12ccc-31a5-4da4-9ed4-44da0588947a,M9,Exelmans,"48,8429387","2,260032902",244f535e-d263-48ce-b818-0dd316f89d27,Exelmans
2460,f3aab47b-024e-4644-b9dd-058a089c2a76,M9,Michel-Ange - Molitor,"48,84505817","2,261745125",78121fea-337d-4bfe-930f-21bba6ae545a,Michel-Ange - Molitor
2470,a95f7f34-baa5-49a5-96e4-7dd6b16aaa8b,M9,Michel-Ange - Auteil,"48,84789565","2,264082031",37dbb99b-4293-4958-8650-66a7ef93a158,Michel-Ange - Auteil
2480,3239b99f-00a4-4ecb-8722-702ad5470a2f,M9,Jasmin,"48,85250409","2,268176749",3bc424b4-959b-4297-a420-848378953d47,Jasmin
2490,cd9992f4-dfd1-46f3-aaad-28c9c54f0ed3,M9,Ranelagh,"48,85548505","2,270109139",279e3299-f202-4112-bd65-b701dfeb1e4a,Ranelagh
2500,62182295-a2c2-4829-bd4b-ad7d28fa8398,M9,La Muette,"48,85804606","2,274154631",9a3a09a9-67b3-4e54-9d69-02189c378275,La Muette
2510,7a08b690-4780-4b6d-b7ef-6f44ee94ed9a,M9,Rue de la Pompe,"48,86397445","2,278112558",f06dc35b-49c2-4162-8f3e-d57ef8dbeb48,Rue de la Pompe
2520,00419aee-1c76-4f1e-bda0-e0e3eac65898,M9,Trocadéro,"48,86306502","2,286243171",15df26f3-5949-4632-9acf-f11144b5eaa1,Trocadéro
2530,ae753c7a-8e67-409a-97fc-0a2ab4a66b63,M9,Iéna,"48,86479407","2,294162018",298d44c4-01e8-4c2f-9130-18274cd927d9,Iéna
2540,ef8e5821-f769-443a-a146-345e709cf109,M9,Alma - Marceau,"48,86476685","2,300991004",068a4121-34fd-4d34-8e0a-36ae7f16504c,Alma - Marceau
2550,833f96c2-0da1-47b2-a6f6-9c1e50dcc47d,M9,Franklin D. Roosevelt,"48,86869985","2,309505157",5f6a4a7b-09e9-421b-a9f2-2a4d533298ef,Franklin D. Roosevelt
2560,e841c0c0-7b2a-4da9-9779-06f0c99a7b07,M9,Saint-Philippe-du-Roule,"48,87242238","2,310038345",930b7a20-4d79-4c97-974a-bae13a2e566f,Saint-Philippe-du-Roule
2570,47bf9b32-5909-4fd3-9608-5ee76110a305,M9,Miromesnil,"48,87370953","2,314606322",1da69ab3-c28f-4cad-b865-93f8d787d69b,Miromesnil
2580,9acb92c2-faac-4d7d-a10d-2c54b3cf3cc9,M9,Havre - Caumartin,"48,87371341","2,32769541",c44f00b0-9da4-4ff9-9faf-f3cf4617a0e4,Havre - Caumartin
2590,63537095-223a-42b6-8a26-1e2ad70aa283,M9,Saint-Augustin,"48,87455838","2,321361928",3e80d9c0-9209-400b-ab99-a86857eccb2c,Saint-Augustin
2600,ec6e5c91-fccf-4c94-a5fc-5f5f25d8594d,M9,Chaussée d'Antin - La Fayette,"48,87293766","2,333479132",c206a8ad-5f20-49c5-a0c6-81c881f7b386,Chaussée d'Antin - La Fayette
2610,80c2301d-e86a-4d08-8a3e-a74718dd76bb,M9,Richelieu - Drouot,"48,87215235","2,339115039",6739b658-cc09-43af-9bfa-50090e051224,Richelieu - Drouot
2620,98957eff-0f88-46ef-b5a9-da35963b9b82,M9,Grands Boulevards,"48,87149774","2,343154773",77bb2f08-571a-4258-bdca-b8e40f67010e,Grands Boulevards
2630,65ebc1f8-2355-4dbd-997d-5c060dcb3773,M9,Bonne Nouvelle,"48,8701642","2,350497972",bd277e57-deb6-416a-918e-5275087cf6f5,Bonne Nouvelle
2640,e7e5d05f-8f22-433a-8219-791a337d4bef,M9,Strasbourg - Saint-Denis,"48,86922417","2,354603791",8824ea5a-df02-4bdb-9a96-c0ea90f6a778,Strasbourg - Saint-Denis
2650,1616e4eb-50f4-4073-b7c4-ddf714264278,M9,République,"48,86711164","2,364234946",26facafd-46f7-41a1-818b-c8637f3621cb,République
2660,62e62d2c-89c1-4d2a-b35f-da04b9e79a2c,M9,Oberkampf,"48,86472762","2,368496387",35718678-12aa-4ebb-b132-75b8953d96e2,Oberkampf
2670,fdb60f78-1eac-43e7-a8b0-5cd6845e3843,M9,Saint-Ambroise,"48,86101926","2,374733431",4700d9d9-e35d-469a-9e7b-b520a8a62319,Saint-Ambroise
2680,a1e61df2-3e6e-4ad7-b4e2-583a7c0e77f6,M9,Voltaire,"48,85745372","2,380718786",59656cdb-8a7a-4413-a494-53cbaae37299,Voltaire
2690,44ab4ba5-6853-430e-8431-e13df403753a,M9,Charonne,"48,8545805","2,385563481",06c47076-bfef-4809-b0bd-a987a1c4d0db,Charonne
2700,0848372f-263b-4116-9575-b66a8eeb6ec3,M9,Rue des Boules,"48,85231543","2,389378128",bc2212b5-0a78-4592-8b8d-2143102233c6,Rue des Boules
2710,68cf43b0-06f8-4a86-a6fd-2bdaffc8f49f,M9,Nation,"48,84894465","2,395879435",a55f8a4c-be4d-4e2d-9df2-45dcd97bee1c,Nation
2720,6df8b304-fd48-45d0-9b4f-1ea7f1987c3c,M9,Buzenval,"48,85181213","2,401022271",3c9956f6-98a9-44b3-8771-e4efe1b2e19c,Buzenval
2730,b89c5ac6-45be-483f-99be-bfb9fa5f5bce,M9,Maraîchers,"48,85272512","2,406089162",f8ad7306-343f-436c-bafa-08df2965b41e,Maraîchers
2740,b19203ad-f4b6-42fd-84fb-f26468121b72,M9,Porte de Montreuil,"48,85354392","2,410626426",4ca500d7-8136-48af-9d58-5b25eceb528b,Porte de Montreuil
2750,c5cb5cd6-902b-4a9d-a059-18d679aa9f7f,M9,Robespierre,"48,85572643","2,422983216",1b9bdfcd-906e-462d-aadf-beacc5271eb3,Robespierre
2760,28fe3626-46ca-4281-a3f9-d72de91f8be6,M9,Croix de Chavaux,"48,85796559","2,435555716",9e4e8664-08f3-4804-a4e6-e79011393787,Croix de Chavaux
2770,b91afbc5-7932-45ce-8662-1a47faaacbab,M9,Mairie de Montreuil,"48,86193691","2,441310941",f39b9d72-8949-42fb-aba2-dc972718aff0,Mairie de Montreuil
2780,63544981-bb7c-4209-bea7-102072fedbc2,M10,Boulogne - Pont de Saint-Cloud,"48,84074502","2,228536982",fe2d66c3-fd51-4bfc-a46d-f52403c7b442,Boulogne - Pont de Saint-Cloud
2790,50e043bb-43cd-41a3-927c-2fb4b82bf83d,M10,Boulogne - Jean Jaurès,"48,84200535","2,238887326",f8cf2711-f11c-4eba-b162-51e3d8cfd426,Boulogne - Jean Jaurès
2800,aed0b90e-658e-4f41-8daf-163dd961de57,M10,Porte d'Auteil,"48,84797154","2,25774468",d425ee64-5d38-4281-939e-74ecad3ee5d3,Porte d'Auteil
2810,b88c58c3-b9ad-4f01-a810-403dfdcff170,M10,Michel-Ange - Auteil,"48,84793481","2,264218777",37dbb99b-4293-4958-8650-66a7ef93a158,Michel-Ange - Auteil
2820,50d08b2a-2260-4b57-9999-de955b44c36c,M10,Eglise d'Auteil,"48,84715006","2,269135873",282029e9-6cea-4402-8a49-cbaf4de2a212,Eglise d'Auteil
2830,3ab35ee9-604d-4eac-a941-29c2c867f53d,M10,Michel-Ange - Molitor,"48,84524757","2,261623492",78121fea-337d-4bfe-930f-21bba6ae545a,Michel-Ange - Molitor
2840,6366dff0-b4a0-4ba3-8124-6f38ec415484,M10,Chardon Lagache,"48,8452047","2,266441543",c560b0aa-f4be-46fe-b6b1-8a5cd803d961,Chardon Lagache
2850,7d3a8da5-cd04-43b4-9031-f96af785a084,M10,Mirabeau,"48,84713101","2,272763753",a7953610-957e-4c2d-92b9-886f1a5aee54,Mirabeau
2860,9100a9b6-a5d0-4b72-a1de-76015ffd541e,M10,Javel - André Citroën,"48,84612367","2,27771174",a38605a3-6982-416d-94f9-94b6eb15e682,Javel - André Citroën
2870,31491e7d-de5f-486d-8cb2-538c20c78908,M10,Charles Michels,"48,84653464","2,285999223",c5131e02-f65c-46b6-ab4d-2535de15d046,Charles Michels
2880,b6a9f9f6-aae2-4aa6-90b2-d1480f268655,M10,Avenue Emise-Zola,"48,84701958","2,295420478",34f8e6d9-f99b-43a1-9b92-075d3270d346,Avenue Emise-Zola
2890,738f1322-411b-4cf5-a367-1ba41f472b1f,M10,La Motte-Piquet - Grenelle,"48,84935055","2,298301402",4bb04ac0-40a8-4cb5-966c-fd072595e981,La Motte-Piquet - Grenelle
2900,40f7c26a-32f5-4347-b52f-e2590c5309c0,M10,Ségur,"48,84706613","2,307402241",e657dd88-1ec5-493b-aa47-3a688e9aeeff,Ségur
