INDEX;UUID;LINE;NAME;LATITUDE;LONGITUDE
610;5560ad51-630a-4c94-9a96-fe45637e19d0;M3;Havre - Caumartin;48,87351339;2,32754308
620;7497e934-33d8-4143-ac73-b75e9841cc85;M3;Opéra;48,87099178;2,331989523
630;f438d7fc-4016-464b-8f26-d1e5bcb99a72;M3;Quatre-Septembre;48,86958524;2,336218848
640;7990755b-f930-4d27-a20f-2b1a597efd68;M3;Bourse;48,86869598;2,340720724
650;bd9c7ac1-a57f-4d37-97a8-74ce3b8e9724;M3;Sentier;48,86730948;2,347516213
660;9abe35dc-425d-43e3-9733-96c8861f77f3;M3;Réaumur - Sébastopol;48,8663403;2,352068318
670;5320b8bf-cb2c-49cc-bfca-d8934dbf07a2;M3;Arts et Métiers;48,86558648;2,356736757
680;c9be487d-dbc2-4aed-9dbf-4d47d6d61a84;M3;Temple;48,86668268;2,361541532
690;b02dedb1-5c12-4990-85a3-51b96860363d;M3;République;48,86702679;2,364247994
700;df3e3243-f9d4-4c3a-90df-429ed8bdb265;M3;Parmentier;48,86525379;2,37458197
710;7c5b978b-835f-481e-a408-1818c85fae36;M3;Rue Saint-Maur;48,8750064;2,32457481
720;85a18989-c8c3-4b4e-9f8a-cccc95167713;M3;Père Lachaise;48,86312321;2,385882449
730;b5b5dab5-ed60-4782-9efd-736be530c098;M3;Gambetta;48,86491669;2,39898444
740;e239d124-0875-4832-a242-a5584a957bd2;M3;Porte de Bagnolet;48,86460037;2,408031037
750;c678762b-4217-426b-95ba-2e201a5d27b2;M3;Gallieni;48,86533532;2,416697273
760;ed9de319-e425-4801-b53a-8e42740e5f4b;M3BIS;Porte des Lilas;48,87711051;2,406729246
770;2cf3a892-f374-42e3-b3f0-b7f8de2e4eff;M3BIS;Saint-Fargeau;48,87210144;2,404514942
780;07d0c083-a9e7-4f39-8526-50274cac3eb4;M3BIS;Pelleport;48,86844016;2,401561713
790;6af0419d-a071-45c7-931b-59155b7015e3;M3BIS;Gambetta;48,86516343;2,398746593
800;f45eccca-20a6-4114-859f-93224afd9f73;M4;Porte de Clignancourt;48,89740222;2,344847749
810;d8787d52-05f8-4770-abfc-cb1b3839e5e6;M4;Simplon;48,89394139;2,347765502
820;d1d23771-c86a-4e7b-9dbd-a035b2afa48a;M4;Marcadet - Poissonniers;48,89141683;2,349738407
830;e6aee936-3acc-471d-b108-eb8cc91bf364;M4;Château Rouge;48,88737491;2,349694082
840;57462cbc-7eca-4406-a66c-52107e06f2e2;M4;Barbès - Rechechouart;48,88343619;2,349774444
850;26320586-e7af-4abf-bd3a-bd8383359193;M4;Gare du Nord;48,87955128;2,356995164
860;154524ba-089d-4474-b1cf-9533abbd28b0;M4;Gare de l'Est;48,87599106;2,357880772
870;74958610-ad70-46b3-80e0-64a0a06164d7;M4;Château d'Eau;48,87242491;2,356044908
880;b72964b7-7ffb-4ca7-8729-baebb0b40c41;M4;Strasbourg - Saint-Denis;48,86949077;2,354391768
890;a2da50b7-0e06-48a7-9902-de0d454aa4f7;M4;Réaumur - Sébastopol;48,86606969;2,352459744
900;911b28ae-f78d-4cda-81ba-c97eb31dd9ba;M4;Etienne Marcel;48,86380744;2,348880653
910;48c85a26-a721-453a-aacc-e1258603bfa6;M4;Les Halles;48,86231628;2,345673828
920;c9afc5c0-8386-4ac7-ba16-b78795f4bc30;M4;Châtelet;48,85838237;2,34756483
930;a8285f92-4343-42ec-b41d-5a8e88b53687;M4;Cité;48,85493638;2,347321316
940;12706f88-0949-4d87-865e-dc27efd3cda2;M4;Saint-Michel;48,85316798;2,343285979
950;6f0be043-8753-47a5-af4e-873682e9e557;M4;Odéon;48,85230076;2,339727782
960;c5c61f9a-c2d7-41d3-9f01-5fde78f60865;M4;Saint-Germain-des-Prés;48,85371893;2,333776137
970;67e54c11-3701-49de-9b5a-d18be9e90e20;M4;Saint-Sulpice;48,85167225;2,331256291
980;d402283d-be4a-4e2d-b2e0-aeaf1abbe134;M4;Saint-Placide;48,84687824;2,326792785
990;73c193b7-7eb9-41c3-b5e8-74f92bc20b8c;M4;Montparnasse - Bienvenüe;48,8437813;2,324397012
1000;a4a70632-c11f-4002-a2d9-e39c82060717;M4;Vavin;48,84221841;2,329008926
1010;ba33f3f8-5a6f-4b43-bec5-80ebc9b8a9e6;M4;Raspail;48,83896428;2,330754192
1020;eb1fb494-48a4-4252-baab-0a5ebc29b41a;M4;Denfert - Rochereau;48,83345086;2,331740131
1030;4996164a-af29-49b5-9701-f6f496d538af;M4;Mouton - Duvernet;48,83111266;2,329705013
1040;1d708958-e2e5-4738-a9dd-6a02a5b6de4a;M4;Alésia;48,82818848;2,32716465
1050;61c65477-c6d8-4918-9f11-286bf3638bd1;M4;Porte d'Orléans;48,82341163;2,325575636
1060;6d195900-116c-4b85-bcb0-6d6f9bb695bd;M4;Mairie de Montrouge;48,81867641;2,319740313
1070;a172deef-108f-4889-b274-336bc256ac2f;M5;Bobigny - Pablo Picasso;48,90637477;2,449189904
1080;cd313e09-ce5d-409c-8ea8-55cac0dcd5bc;M5;Bobigny - Pantin - Raymond Queneau;48,89545467;2,425326889
1090;72b9bbe5-8fd5-4b24-92ee-d5f0ddada128;M5;Eglise de Pantin;48,89325759;2,41331314
1100;b1aed7a7-f269-484a-90f5-961cb3c541bb;M5;Hoche;48,89122859;2,402352143
1110;1bf4d462-672a-4ac5-a6ad-6bada09d7286;M5;Porte de Pantin;48,88850369;2,392113698
1120;80951edc-35d3-4481-b648-3b9853d91067;M5;Ourcq;48,88713487;2,386960017
1130;5ad86ac4-6613-470f-ae8e-51f8397749c8;M5;Laumière;48,88521618;2,379663077
1140;d42d11c4-1641-4bb3-88ff-c40ad18b9089;M5;Jaurès;48,88314745;2,371001441
1150;fac704ce-20a3-441a-ad2e-43b9b5c78b0c;M5;Stalingrad;48,88442089;2,36589382
1160;ba871a49-ba2a-4ef0-bcba-86559c28d894;M5;Gare du Nord;48,87985014;2,357459347
1170;979f7753-6044-4475-826d-9873b9020a51;M5;Gare de l'Est;48,87612635;2,358047505
1180;58d37da8-8d48-47cc-961e-0f83ab17777b;M5;Jacques Bonsergent;48,87080998;2,361027467
1190;01aec5d9-209a-454e-8f37-b877f74ffe8a;M5;République;48,86738447;2,36426495
1200;93a26e42-56a8-4918-8c8f-70e7982935be;M5;Oberkampf;48,86465788;2,368410026
1210;17714f09-edaa-4832-9c2b-25ed3e68ef9b;M5;Richard-Lenoir;48,85987362;2,37191398
1220;edd840a6-24cb-4415-9324-8e450ffaa381;M5;Bréguet - Sabin;48,85614071;2,370209338
1230;65c83b49-26fb-4371-ae38-8215908be7ff;M5;Bastille;48,85343696;2,368736573
1240;8d8db83e-f6b0-4fa5-90cb-1c202c6d973b;M5;Quai de la Râpée;48,8465154;2,365873469
1250;7e001018-784d-4f3b-ac17-a1c54b1d00b5;M5;Gare d'Austerlitz;48,84226539;2,365338653
